id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
122,7,Gratiot St.,7th,,4,59060,3/8/84,1984,2,6/1/15,,0,1,907297.1183,1014194.98,pass,street open,
123,7,Menard St.,Park,cul,3,60336,3/4/87,1987,1,,,0,0,905231.3141,1012503.788,pass,street closed,street name fixed
125,7,Rutger St.,Tucker,cul,3,57909,11/10/79,1979,1,,,0,0,905027.3386,1012934.681,pass,street closed,
126,7,Sixth St.,Market,(P.C.),4,60213,3/4/87,1987,9,,,0,0,908459.3906,1016870.464,pass,does not apply,public park
128,8,Blaine Ave.,Grand,cul,3,58666,11/10/79,1979,3,3/1/15,gate,0,0,894512.9305,1014358.777,pass,street closed,
129,8,Botanical Ave.,Grand,cul,3,59592,2/4/87,1987,3,9/1/14,posts (11)/fence,0,0,893887.0481,1010629.393,pass,street closed,
130,8,Botanical Ave.,Tower Grove,cul,3,59592,3/4/86,1986,1,9/1/14,SAME,0,0,889496.9283,1011153.265,pass,street closed,
131,8,Castleman Ave.,Lawerence,wrought iron fence,2,57880,9/13/82,1982,3,9/1/14,posts (3)/fence,0,0,892368.1809,1012882.235,pass,street closed,
132,8,Castleman Ave.,Tower Grove,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,889837.8699,1013158.065,pass,street closed,
133,8,Cleveland Ave.,Grand Blvd.,posts/chains,2,59592,11/4/85,1985,3,9/1/14,cul/posts(3)/chains,1,0,894033.8345,1011262.658,pass,street closed,
134,8,Cleveland Ave.,Tower Grove,cul,3,59592,8/10/79,1979,1,9/1/14,SAME,0,0,889597.2099,1011782.46,pass,street closed,
136,8,Flad Ave.,Grand Blvd.,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,894092.7507,1011579.542,pass,street closed,
137,8,Flad Ave.,Grand Blvd.,pots (6),1,57461,11/4/85,1985,3,9/1/14,fence,0,0,894133.6061,1011574.742,pass,street closed,
138,8,Flad Ave.,Tower Grove,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,889647.5749,1012102.169,pass,street closed,
139,8,Flora Pl.,Grand Blvd.,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,894344.1303,1011913.567,pass,street closed,
140,8,Flora Pl.,Tower Grove,cul,3,57911,10/15/79,1979,1,9/1/14,SAME,0,0,889738.9293,1012458.15,pass,street closed,
