id,street,avenue,date,year,googleMapsVerify,status,changes,additionalDate
260,Garesche Ave.,Mimika Ave.,12/15/93,1993,3,street closed,,
261,Henner Ave.,Bircher,11/12/09,2009,3,street closed,,
262,Lalite Ave.,Mimika Ave.,5/4/99,1999,3,street closed,,
263,Lucille Ave.,Citylimits,8/1/98,1998,1,street closed,,
264,Lucille Ave.,Mimika Ave.,12/6/01,2001,1,street closed,,
265,Belt Ave.,Waterman,6/1/58,1958,1,street closed,,
266,Degiverville Ave.,Debaliviere,10/15/79,1979,1,street closed,,
267,Degiverville Ave.,Delmar,10/15/79,1979,3,street closed,,
268,Des Peres Ave.,Delmar,3/4/85,1984,2,street open,"October, 2016",
269,Hamilton Ave.,Delmar,9/18/78,1978,2,street open,,
270,Kingsbury Pl.,Clara,9/18/78,1978,3,street closed,,
271,Kingsbury Pl.,Debaliviere,9/18/78,1978,1,street closed,,
272,Kingsbury Pl.,Laurel,9/18/78,1978,3,street closed,,
273,Lake Ave.,Delmar,4/10/84,1984,3,street closed,,
274,McPherson Ave.,Boyle,2/26/82,1982,3,street closed,,
275,McPherson Ave.,Taylor,3/8/84,1984,3,street closed,,
276,Newstead Ave.,Olive,3/8/84,1984,1,street closed,,
277,Nina Pl.,McPherson,1/3/84,1984,1,street closed,,
278,Pershing Ave,Taylor,3/8/84,1984,3,street closed,,
280,Rosedale Ave.,Delmar,3/8/84,1984,3,street closed,,
281,Washington Pl,Kingshighway,12/12/77,1977,1,street closed,,
282,Washington Blvd,Laurel,12/12/77,1977,2,street open,,
283,Washington Ave.,Union,12/12/77,1977,2,street open,,
285,Waterman Blvd.,Debaliviere,12/12/77,1977,3,street closed,,
286,Wesminster Plt,Boyle,8/7/81,1981,3,street closed,street name fixed,
287,Wesminster Plt,Euclid,4/10/84,1984,3,street closed,street name fixed,
288,Wesminster Plt,Laurel,4/10/84,1984,3,street closed,street name fixed,
290,Vernon Ave,Union Blvd,,NA,1,street closed,,
5,Annetta Ave.,Halls Ferry Rd.,1/30/86,1986,9,duplicate,with 4,
8,Lookaway Dr.,S. Benevenue,3/4/87,1987,3,street closed,,
33,North 23rd,Neccho,5/18/09,2009,0,intersection not found,,
60,Hebert St.,Knapp,10/18/93,1993,1,street closed,street name fixed,
63,Nineteenth St.,Benton,7/15/96,1996,9,duplicate,with 51,
72,Warren St.,19th,7/15/96,1996,9,duplicate,with 64,
76,California Ave.,Lafayette,2/2/93,1993,2,street open,bill is 62847,"Sept, 2009"
82,Eighteenth St.,Chouteau,1/30/86,1986,9,duplicate,with 81,"August, 2007"
93,Hickory St,Dolman,12/21/93,1993,9,duplicate,with 92,
100,Ohio Ave.,Chouteau,12/21/93,1993,2,street open,,"July, 2011"
105,Seventeenth St.,Cass,2/18/97,1997,3,street closed,,
106,Seventeenth St.,Delmar,4/4/80,1980,1,street closed,,
107,Sixeteenth St.,Delmar,4/4/80,1980,1,street closed,,
119,Carrol St.,St. Ange Av.,2/2/93,1993,9,duplicate,with 118,
121,Elvira alley,Tucker C.B. 441,1/4/89,1989,0,intersection not found,,
124,Ninth St.,,4/24/03,2003,0,intersection not found,,
127,Victor St.,California,4/24/03,2003,9,duplicate,with 117,
135,Detonty St.,Klemm,11/4/85,1985,2,street open,,"Sept, 2007"
149,Thurman Ave.,I-44,11/4/85,1985,3,street closed,,
151,Herford St.,Compton Ave.,2/9/78,1978,0,intersection not found,,
154,Juniata St.,Minnesota,6/21/78,1978,2,street open,,
155,Nebraska Ave.,Juniata,6/21/78,1978,2,street open,,
157,Ohio Ave.,Arsenal St.,6/21/78,1978,2,street open,,
158,Osage St.,S. Broadway,6/21/78,1978,2,street open,,
159,Pestalozzi St.,California,11/20/89,1989,2,street open,,
160,Pennsylvania Ave.,Wyoming,6/21/78,1978,2,street open,,
161,Texas Ave.,Gravois Ave.,6/21/78,1978,2,street open,,
168,Plainview Ave.,Jamieson,11/23/05,2005,2,street open,,
169,Wabash Ave.,Lansdowne,3/26/96,1996,2,street open,,
172,Berthold Ave.,Hereford St.,11/20/89,1989,0,intersection not found,,
